FILE	K=1	K=2	K=3	K=4	K=1	K=2	K=3	K=4
../TreeLifeData/COG1304.newick	49.059649	42.3305638	39.006071199999994	36.07599880000001	41.245614	36.7166504	34.0907122	31.7544042
../TreeLifeData/COG1247.newick	33.8666668	27.609259200000004	26.2925926	20.7089504	29.833333	22.931481400000003	23.599073999999995	19.0546296
../TreeLifeData/COG2216.newick	14.2181818	11.757576	10.259394	9.4181818	12.484848	10.7806058	9.684848400000002	8.8751514
../TreeLifeData/COG1944.newick	15.7	12.66125	10.95625	9.94625	15.3	12.1825	10.592500000000001	9.51625
../TreeLifeData/COG0059.newick	31.405555600000003	24.8515626	22.532552000000003	21.3232638	28.111111	23.0011284	21.5483506	19.9275174
../TreeLifeData/COG2301.newick	35.970425399999996	32.5817288	30.810798	29.049016	29.735105999999995	27.079946999999997	25.2169548	24.0065224
../TreeLifeData/COG2264.newick	23.383333399999998	18.52875	17.375	16.2816668	20.85	16.895	15.345833199999998	14.423333200000002
../TreeLifeData/COG1808.newick	17.8333332	14.278703799999999	12.9268516	11.634722	16.5	13.645370599999998	12.2560186	11.262037199999998
../TreeLifeData/COG3505.newick	24.862068999999998	20.3405174	17.159052	16.1568966	20.862069	16.8844828	14.7767242	13.576292800000001
../TreeLifeData/COG0630.newick	24.2000002	19.9397568	18.166666599999996	17.0095486	22.0	18.450347400000002	16.903038000000002	15.922048799999999
../TreeLifeData/COG0123.newick	39.6999998	33.9260216	31.328680799999994	29.6778546	38.653846	33.1914664	30.8320912	29.3790414
../TreeLifeData/COG1232.newick	14.4	11.577777800000002	9.8694442	9.027778000000001	14.0	11.444444600000002	9.719444200000002	8.8694446
../TreeLifeData/COG3152.newick	20.377777799999997	17.482592599999997	15.583703600000002	14.2751852	16.844444	14.5044446	13.088148	12.0918518
../TreeLifeData/COG1451.newick	38.6948306	35.155726400000006	31.9030584	30.2113524	32.295009	29.450351	27.378403600000002	26.064377200000003
../TreeLifeData/COG1042.newick	20.4025642	16.442307800000002	14.901923	13.7525644	18.679487	15.976923	14.124358999999998	13.0544874
../TreeLifeData/COG2089.newick	22.880000000000003	19.756110999999997	17.326111200000003	16.396110999999998	21.7	18.9677778	16.6683332	15.766111200000001
../TreeLifeData/COG2334.newick	21.484127	18.563492	17.00357166666667	15.9214285	18.519048	15.924603	14.421428666666666	14.016667
../TreeLifeData/COG0017.newick	27.416666600000003	22.773176999999997	20.616406599999998	19.6714842	25.916667	21.673958600000002	19.7320314	18.823567599999997
../TreeLifeData/COG0104.newick	32.166667	26.934375	24.579687800000002	22.7942708	31.5	26.3343752	24.026562600000002	22.3390626
../TreeLifeData/COG1048.newick	22.7	18.775	17.0760416	15.7992186	22.166667	18.5416668	16.6927082	15.4898436
../TreeLifeData/COG1135.newick	17.55	13.5617188	12.1625	11.2773436	17.25	13.3125	11.833594	11.0343752
../TreeLifeData/COG1283.newick	20.78	18.31875	16.623437600000003	15.305156199999999	19.1	16.7725	15.125625	14.430468600000001
../TreeLifeData/COG0064.newick	20.4000002	16.4916668	14.562499799999998	13.407639	19.666667	16.2083334	14.311111200000003	13.238194800000002
../TreeLifeData/COG4631.newick	16.333333	13.4499998	12.2041664	10.583333200000002	15.666667	12.866667000000001	11.6833334	10.165625
../TreeLifeData/COG0233.newick	23.833333	19.710416399999996	16.9046876	15.644010400000003	23.166667	19.44375	16.6380208	15.425520799999997
../TreeLifeData/COG0315.newick	46.96111125	33.133333	31.420962000000003	28.786278333333332	41.377778	30.2	28.945061666666664	26.898148000000003
../TreeLifeData/COG2812.newick	33.1222224	28.3729936	26.1512924	24.9491704	31.092593	27.156134199999997	25.037905000000002	23.9553242
../TreeLifeData/COG0168.newick	39.988095	34.4371106	32.4303754	30.556828599999996	34.25	30.759259399999998	29.115333	27.956851
../TreeLifeData/COG0238.newick	32.2416668	27.561458400000003	24.7794272	23.152734400000003	28.583333	25.3135414	22.588801999999998	21.677083600000003
../TreeLifeData/COG4965.newick	33.2916668	30.780208199999997	24.202083199999997	23.675	22.604167	18.0291668	14.1218752	13.4239584
../TreeLifeData/COG1418.newick	20.2095238	16.1015872	14.6166664	13.234920800000001	17.714286	15.3714288	13.703174800000003	12.5142858
../TreeLifeData/COG1433.newick	24.005333200000003	20.109333400000004	18.7626666	14.3226666	21.706667	12.946667	11.824000000000002	10.944000200000001
../TreeLifeData/COG0572.newick	35.70000019999999	31.4847224	28.594835	26.548393999999995	33.333333	29.870832999999998	27.3895834	25.5234268
../TreeLifeData/COG0144.newick	51.30000000000001	40.3856226	35.4699394	32.657205000000005	41.277778	34.882716	31.823087000000005	29.4703802
../TreeLifeData/COG0291.newick	26.5999998	21.5319444	18.909491	17.6571758	24.166667	20.4444442	17.9594908	16.9800924
../TreeLifeData/COG0124.newick	26.6000002	22.292361	19.6236112	18.3958334	26.0	21.9	19.078472400000003	17.901388999999998
../TreeLifeData/COG0368.newick	29.663636599999997	24.822727399999998	21.2246214	18.6117424	21.80303	18.801515000000002	16.936742600000002	15.7738638
../TreeLifeData/COG0299.newick	21.7	18.378125	15.6328124	14.3621094	21.0	17.871875	15.185547199999998	14.05
../TreeLifeData/COG4963.newick	13.733333400000001	11.238888800000002	9.7361112	8.9194444	13.0	10.988888800000002	9.3902778	8.620833200000002
../TreeLifeData/COG0126.newick	32.8333334	27.160069400000005	25.3307294	23.506445399999997	30.833333	26.144791599999998	24.507639	22.9048178
../TreeLifeData/COG0634.newick	38.3999998	33.259643200000006	30.646139400000003	28.7983814	34.733333	30.726354200000003	28.767206799999997	27.555510200000004
