FILE	K=1	K=2	K=3	K=4	K=1	K=2	K=3	K=4
../TreeLifeData/COG0373.newick	19.4133334	15.8555554	14.436666800000001	12.866666599999999	17.333333	14.5044442	12.981110999999999	11.8266666
../TreeLifeData/COG2151.newick	19.8666666	16.431481400000003	14.983333400000001	13.437963000000002	18.666667	15.474074399999997	14.0018518	12.805555600000002
../TreeLifeData/COG0610.newick	34.5559324	30.5239982	28.7782222	27.5514302	32.313559	29.132331200000003	27.485652799999997	26.254806600000002
../TreeLifeData/COG0187.newick	29.3333332	23.8777778	20.815972199999997	19.1607638	28.0	23.066666599999998	20.2284722	18.688194200000005
../TreeLifeData/COG0782.newick	32.8833334	28.2645836	25.440104400000003	23.771289200000002	29.583333	25.968228999999997	23.6013672	21.799804599999998
../TreeLifeData/COG0066.newick	23.25	19.703125	17.1601562	15.947265400000001	22.75	18.99375	16.762500199999998	15.5320314
../TreeLifeData/COG1858.newick	24.5333334	20.443634199999998	18.288541599999995	17.285763999999997	22.333333	19.7487268	17.7530092	16.7969908
../TreeLifeData/COG5040.newick	23.513333	19.0266666	16.6958334	15.602500000000001	22.033333	18.4966668	16.5725	15.2854166
../TreeLifeData/COG5273.newick	39.7336338	33.472973	30.523963200000004	29.0054006	35.37988	30.825788199999998	28.714132799999998	27.159496999999998
../TreeLifeData/COG2022.newick	30.049999800000002	26.077931999999997	23.675655999999996	22.178009199999998	27.083333	24.296913600000003	22.2606868	21.00571
../TreeLifeData/COG1974.newick	20.5	15.971875	14.579687400000001	13.35625	20.5	15.971875	14.4796874	13.26875
../TreeLifeData/COG2223.newick	19.9622222	18.3022222	16.8933334	15.482222400000001	18.966667	14.8000002	13.644444400000001	11.354444599999999
../TreeLifeData/COG0675.newick	34.8790124	30.6510512	28.783647000000002	27.605102199999997	30.623456999999995	27.936579000000005	26.221817199999997	25.216362800000002
../TreeLifeData/COG2897.newick	21.393333	17.633333200000003	16.5366666	14.9261114	18.5	16.1861112	14.9294444	13.605
../TreeLifeData/COG1757.newick	44.9913266	37.6120028	35.4191836	33.574489799999995	37.592177	33.2994856	30.992778599999998	29.4500656
../TreeLifeData/COG1185.newick	21.0	17.4000002	15.147916599999999	13.464583199999998	20.333333	17.1333334	14.70625	13.220833199999998
../TreeLifeData/COG1160.newick	46.7181288	36.613547800000006	32.40916180000001	28.0703218	37.461988	27.8362574	26.3708578	23.409259400000003
../TreeLifeData/COG0109.newick	20.55	16.684375	14.775	13.734374800000001	18.75	15.821875	14.1039062	13.0843752
../TreeLifeData/COG1983.newick	14.466667000000001	11.252777600000002	10.0833334	9.2055556	12.833333	10.6194442	9.25	8.752778
../TreeLifeData/COG0335.newick	37.1181818	30.747474800000003	28.5138468	26.4099852	33.530303	29.0582072	27.075526199999995	24.8626262
../TreeLifeData/COG1408.newick	19.3333332	16.1953704	14.6981482	13.5680556	18.0	15.599074000000002	14.1523148	13.199537000000001
../TreeLifeData/COG0107.newick	23.8	19.3561726	16.1916666	14.5450618	22.0	18.1222224	14.2444444	13.4058642
../TreeLifeData/COG1360.newick	22.8	18.975	16.6078124	15.0023438	22.0	18.3	15.796875	14.4226564
../TreeLifeData/COG0855.newick	26.676767599999998	22.4265152	20.270665	19.3661196	24.818182	21.3131314	19.579166800000003	18.608081
../TreeLifeData/COG0769.newick	25.966666600000003	21.6041666	19.7708332	18.2864584	24.333333	20.7302082	18.7583332	17.521875
../TreeLifeData/COG0040.newick	35.7999998	30.564292599999998	28.502260999999997	25.8289244	30.748061999999997	26.968023200000005	25.117603199999998	23.4296672
