FILE	FILE_SIZE_BYTES	RECON_COUNT
COG0190	2950	2875392.0
COG3875	1120	2.0
COG0144	3214	62208.0
COG1716	1074	1.0
COG0291	2265	1728.0
COG4226	1074	7.0
COG5155	1120	1.0
COG0251	1681	1700.0
COG1254	1054	3.0
COG2241	1562	88.0
COG2332	1449	48.0
COG4968	1237	12.0
COG4813	1072	2.0
COG3036	1111	1.0
COG3952	1127	2.0
COG4328	1027	3.0
COG5597	1410	1.0
COG4706	1074	2.0
COG5619	1027	2.0
COG2810	1025	3.0
COG1619	1704	360.0
COG0569	2597	98304.0
COG1989	1794	96.0
COG3326	1298	2.0
COG3456	1129	1.0
COG5595	1042	1.0
COG4742	1459	1.0
COG2316	1157	8.0
COG1098	1309	24.0
COG4446	1161	4.0
COG0124	2378	2304.0
COG5141	1342	4.0
COG2939	2605	4.0
COG1806	1687	24.0
COG4952	1073	3.0
COG1680	1455	24.0
COG0368	1811	1056.0
COG1655	1072	2.0
COG0564	3086	497664.0
COG5222	1273	4.0
COG2113	1856	2880.0
COG5351	1041	4.0
COG4399	1070	1.0
COG2868	1242	3.0
COG0299	2380	1024.0
COG4963	1378	144.0
COG0126	2990	9216.0
COG4069	1068	1.0
COG2180	1336	6.0
COG0266	2248	1152.0
COG3742	1182	5.0
COG0634	2339	153600.0
COG2337	1799	384.0
COG0640	1138	2.0
COG1501	2427	672.0
COG3955	1011	2.0
COG4320	1146	1.0
COG1430	1499	15.0
COG0162	3150	1152.0
COG0690	1875	384.0
COG0312	2534	20736.0
COG0201	3086	9216.0
COG4588	1040	1.0
COG3297	1128	2.0
COG1986	1225	3.0
COG2142	1520	18.0
COG1690	1752	384.0
COG4604	1228	20.0
COG5117	1052	1.0
COG5404	1057	2.0
COG1660	1654	8.0
COG1599	1340	4.0
COG1651	1071	3.0
COG5223	1102	1.0
COG4223	1074	1.0
COG0097	3126	26880.0
COG0406	1557	96.0
COG2204	5271	11041505280.0
COG1198	2203	128.0
COG1813	1424	12.0
COG2239	1942	576.0
COG1673	1067	2.0
COG5108	1137	2.0
COG3262	1107	2.0
COG3568	1786	188.0
COG3619	1321	12.0
COG3427	1281	1.0
COG3415	1906	8.0
COG3594	1232	12.0
COG2250	1495	3.0
COG2914	1292	1.0
COG1507	1092	1.0
COG1252	3101	6137856.0
COG3284	1343	8.0
COG0750	2627	288.0
COG1132	1125	8.0
COG1998	1202	8.0
COG4263	1092	5.0
COG4396	1027	4.0
COG2249	2326	16896.0
COG5272	3079	3456.0
COG3693	1422	6.0
COG3737	1273	4.0
COG0284	2646	3888.0
COG2254	1101	1.0
COG2044	1173	3.0
COG1939	1295	2.0
COG2130	1839	18.0
COG1172	4857	1881169920.0
COG1344	3546	585792.0
COG0082	2521	2304.0
COG3027	1551	112.0
COG1493	1422	24.0
COG3055	1129	4.0
COG1067	1490	40.0
COG4713	1010	2.0
COG2904	1272	4.0
COG5007	1292	2.0
COG1717	1576	4.0
COG1947	2203	576.0
COG5104	1274	9.0
COG4583	1200	1.0
COG4402	1012	2.0
COG0843	2680	96768.0
COG1327	2001	48.0
COG3077	1197	4.0
COG3181	3649	576.0
COG3911	1091	6.0
COG3782	1074	2.0
COG1727	1204	4.0
COG3673	1073	8.0
COG1033	1458	60.0
COG0791	4022	8758886400.0
COG0729	1420	30.0
COG3785	1182	1.0
COG5131	1068	1.0
COG3315	1813	720.0
COG1463	2115	8.0
COG3402	1156	8.0
COG4771	1716	896.0
COG1368	2046	1152.0
COG4302	1198	92.0
COG3776	1111	1.0
COG4420	1282	2.0
COG0280	2802	28901376.0
COG0803	2833	1411200.0
COG0466	2610	576.0
COG0607	6152	6.90392370512e+18
COG0122	2189	12.0
COG0738	1764	992.0
COG2906	1200	2.0
COG1569	1124	2.0
COG0303	2837	1536.0
COG0392	2089	3072.0
COG0836	1874	3456.0
COG0665	1159	4.0
COG2718	1284	16.0
COG3168	1146	1.0
COG5338	1092	1.0
COG0475	4247	13271040.0
COG4392	1211	8.0
COG4044	1037	1.0
COG1662	3477	4.0
COG0523	2968	294912.0
COG0601	6920	822167470080000.0
COG4046	1052	2.0
COG4792	1109	8.0
COG5611	1027	3.0
COG4768	1119	1.0
COG1286	1742	180.0
COG3684	1193	10.0
COG4421	1027	1.0
COG0002	2259	18816.0
COG4054	1068	1.0
COG3630	1089	3.0
COG3580	1226	12.0
COG1705	1484	4.0
COG1720	1661	72.0
COG5418	1024	1.0
COG4569	1057	3.0
COG5585	1026	2.0
COG4757	1057	2.0
COG3556	1093	2.0
COG0622	2149	480.0
COG0159	2401	92160.0
COG2207	1026	3.0
COG5133	1256	4.0
COG4276	1124	12.0
COG3718	1216	8.0
COG0529	2049	384.0
COG1251	1322	18.0
COG0714	2676	5760.0
COG1798	1357	16.0
COG4230	1345	2.0
COG1972	2049	384.0
COG3280	1269	24.0
COG3096	1093	1.0
COG2165	1217	1.0
COG5323	1042	4.0
COG4318	1110	6.0
COG3251	1181	8.0
COG4288	1042	1.0
COG3731	1141	1.0
COG3685	1524	12.0
COG3740	1316	6.0
COG3570	1074	1.0
COG5494	1024	1.0
COG3237	1674	80.0
COG5647	1646	4.0
COG0211	2509	5238.0
COG1692	1510	96.0
COG0011	1416	192.0
COG2358	1599	5328.0
COG4239	1359	5.0
COG4558	1236	12.0
COG4088	1154	1.0
COG1101	1266	12.0
COG3436	2657	8.0
COG5196	1391	9.0
COG0657	5237	185608765440.0
COG2421	1406	48.0
COG3676	1027	1.0
COG1298	1781	24.0
COG1764	2224	5832.0
COG0702	1027	2.0
COG4644	1074	5.0
COG3234	1090	5.0
COG1260	1505	96.0
COG2088	1191	48.0
COG4821	1070	4.0
COG4577	1831	10.0
COG1832	1645	12.0
COG3195	1289	16.0
COG4259	1057	4.0
COG4816	1125	4.0
COG2220	3028	53125632.0
COG3363	1037	1.0
COG0058	2236	768.0
COG4553	1164	3.0
COG4093	1074	1.0
COG3565	1057	4.0
COG5486	1057	1.0
COG5425	1129	2.0
COG1385	2392	5120.0
COG4476	1119	1.0
COG4551	1074	7.0
COG4334	1054	4.0
COG3765	1165	1.0
COG1439	1338	2.0
COG3031	1109	8.0
COG2274	2383	216576.0
COG4454	1236	12.0
COG0604	1038	1.0
COG0156	3867	1228800.0
COG3781	1217	4.0
COG1794	1559	168.0
COG4947	1026	2.0
COG4650	1092	9.0
COG1526	1738	12.0
COG3265	1414	36.0
COG1290	1826	18.0
COG0394	3161	1966080.0
